accession	accession_version	strain	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	authors	institution	url
KY241774	KY241774.1	KY241774	2016-09-05	Asia	Singapore			10770	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241774
KY241775	KY241775.1	KY241775	2016-09-05	Asia	Singapore			10766	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241775
KY241776	KY241776.1	KY241776	2016-09-05	Asia	Singapore			10756	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241776
KY241777	KY241777.1	KY241777	2016-09-06	Asia	Singapore			10757	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241777
KY241778	KY241778.1	KY241778	2016-09-06	Asia	Singapore			10756	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241778
KY241779	KY241779.1	KY241779	2016-09-06	Asia	Singapore			10765	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241779
KY241780	KY241780.1	KY241780	2016-09-06	Asia	Singapore			10756	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241780
KY241781	KY241781.1	KY241781	2016-09-06	Asia	Singapore			10756	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241781
KY241782	KY241782.1	KY241782	2016-09-07	Asia	Singapore			10742	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241782
KY241783	KY241783.1	KY241783	2016-09-07	Asia	Singapore			10742	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241783
KY241784	KY241784.1	KY241784	2016-09-08	Asia	Singapore			10755	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241784
KY241785	KY241785.1	KY241785	2016-09-05	Asia	Singapore			10765	Aedes albopictus	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241785
KY241786	KY241786.1	KY241786	2016-09-06	Asia	Singapore			10762	Aedes albopictus	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241786
KY241787	KY241787.1	KY241787	2016-09-07	Asia	Singapore			10770	Aedes aegypti	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241787
KY241788	KY241788.1	KY241788	2016-05-13	Asia	Singapore			10770	Homo sapiens	2017-05-23	2017-05-23		Ho et al.	Duke-NUS, Emerging Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/KY241788
KY272987	KY272987.1	KY272987	2016-08-30	Asia	Thailand			10807	Homo sapiens	2016-12-11	2016-12-11		Leelahakorn et al.	Faculty of Medicine Siriraj Hospital, Mahidol University, Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KY272987
KY272991	KY272991.1	KY272991	2016-02-12	South America	Brazil			10807	Homo sapiens	2016-12-31	2016-12-31		Bonaldo et al.	Oswaldo Cruz Institute, Laboratory of Flavivirus Molecular Biology	https://www.ncbi.nlm.nih.gov/nuccore/KY272991
KY288905	KY288905.1	KY288905	1962-11-XX	Africa	Uganda			10752	Aedes africanus	2016-12-25	2016-12-25		Lewandowski et al.	Public Health England, Genomics of Rare and Emerging Human Pathogens	https://www.ncbi.nlm.nih.gov/nuccore/KY288905
KY293644	KY293644.1	KY293644	2016-02-21	Oceania	New Zealand			806	Homo sapiens	2016-12-25	2016-12-25		Harrower et al.	Institute of Environmental Science and Research Limited (ESR), NCBID	https://www.ncbi.nlm.nih.gov/nuccore/KY293644
KY293645	KY293645.1	KY293645	2016-02-27	Oceania	New Zealand			552	Homo sapiens	2016-12-25	2016-12-25		Harrower et al.	Institute of Environmental Science and Research Limited (ESR), NCBID	https://www.ncbi.nlm.nih.gov/nuccore/KY293645
KY307811	KY307811.1	KY307811	2016-02-XX	South America	Brazil			329	Callithrix jacchus	2018-07-01	2018-07-01		Favoretto et al.	University of Sao Paulo, Microbiology - Institute of Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY307811
KY317936	KY317936.1	KY317936	2016-01-16	South America	Colombia			10389	Homo sapiens	2016-12-27	2017-06-09		Quick et al.	The Scripps Research Institute, Department of Immunology and Microbial Science	https://www.ncbi.nlm.nih.gov/nuccore/KY317936
KY317937	KY317937.1	KY317937	2016-01-07	South America	Colombia			10462	Homo sapiens	2016-12-27	2017-06-09		Quick et al.	The Scripps Research Institute, Department of Immunology and Microbial Science	https://www.ncbi.nlm.nih.gov/nuccore/KY317937
KY317938	KY317938.1	KY317938	2016-01-10	South America	Colombia			10387	Homo sapiens	2016-12-27	2017-06-09		Quick et al.	The Scripps Research Institute, Department of Immunology and Microbial Science	https://www.ncbi.nlm.nih.gov/nuccore/KY317938
KY317939	KY317939.1	KY317939	2016-01-06	South America	Colombia			10608	Homo sapiens	2016-12-27	2017-06-09		Quick et al.	The Scripps Research Institute, Department of Immunology and Microbial Science	https://www.ncbi.nlm.nih.gov/nuccore/KY317939
KY317940	KY317940.1	KY317940	2016-01-09	South America	Colombia			10391	Homo sapiens	2016-12-27	2017-06-09		Quick et al.	The Scripps Research Institute, Department of Immunology and Microbial Science	https://www.ncbi.nlm.nih.gov/nuccore/KY317940
KY325464	KY325464.1	KY325464	2016-09-19	North America	USA	Florida		10790	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325464
KY325465	KY325465.1	KY325465	2016-09-28	North America	USA	Florida		10790	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325465
KY325466	KY325466.1	KY325466	2016-07-28	North America	USA	Florida		10710	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325466
KY325467	KY325467.1	KY325467	2016-07-29	North America	USA	Florida		10742	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325467
KY325468	KY325468.1	KY325468	2016-08-04	North America	USA	Florida		10742	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325468
KY325469	KY325469.1	KY325469	2016-08-04	North America	USA	Florida		10776	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325469
KY325470	KY325470.1	KY325470	2016-08-04	North America	USA	Florida		10066	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325470
KY325471	KY325471.1	KY325471	2016-08-08	North America	USA	Florida		10622	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325471
KY325472	KY325472.1	KY325472	2016-08-23	North America	USA	Florida		10783	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325472
KY325473	KY325473.1	KY325473	2016-08-31	North America	USA	Florida		10786	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325473
KY325474	KY325474.1	KY325474	2016-09-13	North America	USA	Florida		10156	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325474
KY325475	KY325475.1	KY325475	2016-10-05	North America	USA	Florida		9981	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325475
KY325476	KY325476.1	KY325476	2016-10-11	North America	USA	Florida		10785	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325476
KY325477	KY325477.1	KY325477	2016-10-03	North America	USA	Florida		10751	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325477
KY325478	KY325478.1	KY325478	2016-09-26	North America	USA	Florida		10407	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325478
KY325479	KY325479.1	KY325479	2016-09-28	North America	USA	Florida		10758	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325479
KY325480	KY325480.1	KY325480	2016-07-28	North America	USA	Florida		10658	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325480
KY325481	KY325481.1	KY325481	2016-07-29	North America	USA	Florida		10647	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325481
KY325482	KY325482.1	KY325482	2016-08-24	North America	USA	Florida		10722	Homo sapiens	2017-01-31	2017-01-31		Ladner et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325482
KY325483	KY325483.1	KY325483	2016-08-24	North America	USA	Florida		10688	Homo sapiens	2017-01-31	2017-06-09		Grubaugh et al.	United States Army Medical Research Institute for Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/KY325483
KY328289	KY328289.1	KY328289	2016-05-15	North America	Honduras			10807	Homo sapiens	2016-12-20	2017-02-14		Murray et al.	Baylor College of Medicine, Molecular Virology and Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KY328289
KY328290	KY328290.1	KY328290	2016-11-03	Asia	China			10272	Homo sapiens	2016-12-20	2016-12-20		Xia et al.	Kunming University of Science and Technology, Faculty of Life Science and Technology	https://www.ncbi.nlm.nih.gov/nuccore/KY328290
KY348640	KY348640.1	KY348640	2016-01-22	South America	Suriname			10807	Homo sapiens	2017-02-01	2017-06-15		van Boheemen et al.	Leiden University Medical Center, Medical Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/KY348640
KY348860	KY348860.1	KY348860	1984-11-17	Africa	Senegal	Kedougou		10657	Aedes africanus	2016-12-21	2016-12-21		Shabman et al.	J. Craig Venter Institute	https://www.ncbi.nlm.nih.gov/nuccore/KY348860
KY354186	KY354186.1	KY354186	2015-04-XX	South America	Brazil	Manguinhos	Rio de Janeiro	1512	Aedes aegypti	2017-06-29	2017-06-29		Ayllon et al.	Bernhard Nocht Institute for Tropical Medicine, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KY354186
KY354187	KY354187.1	KY354187	2016-01-XX	South America	Brazil	Manguinhos	Rio de Janeiro	1391	Aedes aegypti	2017-06-29	2017-06-29		Ayllon et al.	Bernhard Nocht Institute for Tropical Medicine, Virology	https://www.ncbi.nlm.nih.gov/nuccore/KY354187
KY379148	KY379148.1	KY379148	2016-02-29	Asia	China			10691	Homo sapiens	2018-07-01	2018-07-01		Huang et al.	Sun Yat-sen University, Zhongshan Medical University, Dept. of Immunology	https://www.ncbi.nlm.nih.gov/nuccore/KY379148
KY415986	KY415986.1	KY415986	2014-05-29	North America	Haiti			10808	Homo sapiens	2017-06-07	2022-12-05		White et al.	University of Florida - Gainesville, Environmental and Global Health	https://www.ncbi.nlm.nih.gov/nuccore/KY415986
KY415987	KY415987.1	KY415987	2014-05-29	North America	Haiti			10808	Homo sapiens	2017-06-07	2022-12-05		White et al.	University of Florida - Gainesville, Environmental and Global Health	https://www.ncbi.nlm.nih.gov/nuccore/KY415987
KY415988	KY415988.1	KY415988	2014-06-05	North America	Haiti			10808	Homo sapiens	2017-06-07	2022-12-05		White et al.	University of Florida - Gainesville, Environmental and Global Health	https://www.ncbi.nlm.nih.gov/nuccore/KY415988
KY415989	KY415989.1	KY415989	2014-06-10	North America	Haiti			10808	Homo sapiens	2017-06-07	2022-12-05		White et al.	University of Florida - Gainesville, Environmental and Global Health	https://www.ncbi.nlm.nih.gov/nuccore/KY415989
KY415990	KY415990.1	KY415990	2014-06-02	North America	Haiti			10808	Homo sapiens	2017-06-07	2022-12-05		White et al.	University of Florida - Gainesville, Environmental and Global Health	https://www.ncbi.nlm.nih.gov/nuccore/KY415990
KY415991	KY415991.1	KY415991	2014-06-24	North America	Haiti			10808	Homo sapiens	2017-06-07	2022-12-05		White et al.	University of Florida - Gainesville, Environmental and Global Health	https://www.ncbi.nlm.nih.gov/nuccore/KY415991
KY441401	KY441401.1	KY441401	2016-02-29	South America	Brazil			10662	Homo sapiens	2018-01-31	2018-01-31		Bittar et al.	UNESP - Sao Paulo State University, Department of Biology - Genomic Studies Laboratory	https://www.ncbi.nlm.nih.gov/nuccore/KY441401
KY441402	KY441402.1	KY441402	2016-04-05	South America	Brazil			10662	Homo sapiens	2018-01-31	2018-01-31		Bittar et al.	UNESP - Sao Paulo State University, Department of Biology - Genomic Studies Laboratory	https://www.ncbi.nlm.nih.gov/nuccore/KY441402
KY441403	KY441403.1	KY441403	2016-01-11	South America	Brazil			10623	Homo sapiens	2018-01-31	2018-01-31		Bittar et al.	UNESP - Sao Paulo State University, Department of Biology - Genomic Studies Laboratory	https://www.ncbi.nlm.nih.gov/nuccore/KY441403
KY465607	KY465607.1	KY465607	2016-10-26	South America	Ecuador	Manta	Manabi	284	Aedes aegypti	2017-10-11	2017-10-11		Cevallos et al.	INSPI, BIOLOGIA MOLECULAR CIREV	https://www.ncbi.nlm.nih.gov/nuccore/KY465607
KY553111	KY553111.1	KY553111	2016-04-XX	Southeast Asia	Philippines	Philippines	Philippines	10795	Homo sapiens	2017-08-17	2017-08-17		Gu et al.	Agency for Defense Development, The 5th R&D Institute, 3rd Directorate	https://www.ncbi.nlm.nih.gov/nuccore/KY553111
KY558989	KY558989.1	KY558989	2015-02-23	South America	Brazil	Joao Camara	Rio Grande do Norte	10022	Homo sapiens	2017-05-23	2017-06-15		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY558989
KY558990	KY558990.1	KY558990	2016-01-15	South America	Brazil	Recife	Pernambuco	8791	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY558990
KY558991	KY558991.1	KY558991	2016-01-19	South America	Brazil	Garanhuns	Pernambuco	9092	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY558991
KY558992	KY558992.1	KY558992	2016-01-06	South America	Brazil	Caetes	Pernambuco	9391	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY558992
KY558993	KY558993.1	KY558993	2016-01-18	South America	Brazil	Sanharo	Pernambuco	8791	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY558993
KY558994	KY558994.1	KY558994	2016-01-18	South America	Brazil	Limoeiro	Pernambuco	9673	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY558994
KY558995	KY558995.1	KY558995	2015-05-13	South America	Brazil	Paulista	Pernambuco	10022	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY558995
KY558996	KY558996.1	KY558996	2015-05-13	South America	Brazil	Paulista	Pernambuco	10022	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY558996
KY558997	KY558997.1	KY558997	2015-05-14	South America	Brazil	Olinda	Pernambuco	9374	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY558997
KY558998	KY558998.1	KY558998	2015-06-15	South America	Brazil	Paulista	Pernambuco	9673	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY558998
KY558999	KY558999.1	KY558999	2016-07-10	South America	Brazil	Olinda	Pernambuco	10565	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY558999
KY559000	KY559000.1	KY559000	2015-08-09	South America	Brazil	Paulista	Pernambuco	9673	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559000
KY559001	KY559001.1	KY559001	2015-08-20	South America	Brazil	Murici	Alagoas	10310	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559001
KY559002	KY559002.1	KY559002	2015-09-09	South America	Brazil	Maceio	Alagoas	8791	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559002
KY559003	KY559003.1	KY559003	2015-08-28	South America	Brazil	Arapiraca	Alagoas	10310	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559003
KY559004	KY559004.1	KY559004	2016-04-16	South America	Brazil	Feira de Santana	Bahia	10309	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559004
KY559005	KY559005.1	KY559005	2016-04-18	South America	Brazil	Ribeirao Preto	São Paulo	10565	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559005
KY559006	KY559006.1	KY559006	2016-04-18	South America	Brazil	Ribeirao Preto	São Paulo	10565	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559006
KY559007	KY559007.1	KY559007	2016-04-18	South America	Brazil	Ribeirao Preto	São Paulo	10565	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559007
KY559008	KY559008.1	KY559008	2016-04-19	South America	Brazil	Ribeirao Preto	São Paulo	9673	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559008
KY559009	KY559009.1	KY559009	2016-04-19	South America	Brazil	Ribeirao Preto	São Paulo	10309	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559009
KY559010	KY559010.1	KY559010	2016-04-19	South America	Brazil	Ribeirao Preto	São Paulo	10310	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559010
KY559011	KY559011.1	KY559011	2016-04-19	South America	Brazil	Ribeirao Preto	São Paulo	10310	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559011
KY559012	KY559012.1	KY559012	2016-04-19	South America	Brazil	Ribeirao Preto	São Paulo	10565	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559012
KY559013	KY559013.1	KY559013	2016-04-24	South America	Brazil	Ribeirao Preto	São Paulo	10565	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559013
KY559014	KY559014.1	KY559014	2016-04-24	South America	Brazil	Ribeirao Preto	São Paulo	10310	Homo sapiens	2017-05-23	2017-05-23		Faria et al.	University of Oxford, Department of Zoology	https://www.ncbi.nlm.nih.gov/nuccore/KY559014
